id,immagine,data_avvistamento,image_url,latitude,longitude,nome_classe,nome_scientifico,nome_comune,nome_famiglia,luogo,nome_breve
62742966,62742966.jpg,10-Oct-2020,https://static.inaturalist.org/photos/100577326/medium.jpg,45.52139342,12.28746844,Insetti,Carpocoris purpureipennis,Carpocoris purpureipennis,Pentatomidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62942371,62942371.jpg,17-Oct-2020,https://static.inaturalist.org/photos/100935039/medium.jpg,45.52112273,12.29081605,Piante,Centaurea nigrescens,Fiordaliso nerastro,Asteraceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62579986,62579986.jpg,9-Oct-2020,https://static.inaturalist.org/photos/100288935/medium.jpg,45.52139342,12.28746844,Molluschi,Cepaea nemoralis,Chiocciola Nemorale,Helicidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62579989,62579989.jpg,9-Oct-2020,https://static.inaturalist.org/photos/100289671/medium.jpg,45.52139342,12.28746844,Molluschi,Cepaea nemoralis,Chiocciola Nemorale,Helicidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62581026,62581026.jpg,9-Oct-2020,https://static.inaturalist.org/photos/100289986/medium.jpg,45.52139342,12.28746844,Molluschi,Cepaea nemoralis,Chiocciola Nemorale,Helicidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
70898738,70898738.jpg,9-Mar-2021,https://static.inaturalist.org/photos/115342575/medium.jpg,45.52707602,12.27811267,Molluschi,Cepaea nemoralis,Chiocciola Nemorale,Helicidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
71084195,71084195.jpg,12-Mar-2021,https://static.inaturalist.org/photos/115674188/medium.jpg,45.52283667,12.27970073,Piante,Chelidonium majus,Celidonia,Papaveraceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
69919984,69919984.jpg,21-Feb-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/113568580/medium.jpeg,45.522785,12.285198,Uccelli,Chroicocephalus ridibundus,Gabbiano comune,Laridae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
20872494,20872494.jpg,9-Sep-2015,https://static.inaturalist.org/photos/32204268/medium.jpeg,45.51924772,12.28772722,Piante,Cichorium intybus,Cicoria comune,Asteraceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
63424987,63424987.jpg,22-Oct-2020,https://static.inaturalist.org/photos/101780703/medium.jpg,45.52205312,12.27680693,Piante,Cichorium intybus,Cicoria comune,Asteraceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
70410398,70410398.jpg,1-Mar-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/114457543/medium.jpeg,45.52841409,12.28721711,Uccelli,Circus cyaneus,Albanella Reale,Accipitridae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
64554304,64554304.jpg,29-Oct-2020,https://static.inaturalist.org/photos/103799516/medium.jpg,45.5257842,12.28533287,Piante,Clematis viticella,Clematide Paonazza,Ranunculaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
86772652,86772652.jpg,11-Jul-2021,https://static.inaturalist.org/photos/143002757/medium.jpeg,45.52570547,12.28463844,Piante,Clematis viticella,Clematide Paonazza,Ranunculaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
46113046,46113046.jpg,16-May-2020,https://inaturalist-open-data.s3.amazonaws.com/photos/73137665/medium.jpg,45.519745,12.29282,Insetti,Coccinella septempunctata,Coccinella Comune,Coccinellidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
65330533,65330533.jpg,21-Nov-2020,https://inaturalist-open-data.s3.amazonaws.com/photos/105131840/medium.jpeg,45.52747888,12.28823113,Insetti,Colias croceus,Crocea,Pieridae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
69406135,69406135.jpg,9-Feb-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/112603340/medium.jpeg,45.521684,12.290311,Uccelli,Columba palumbus,Colombaccio,Columbidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
74663056,74663056.jpg,20-Apr-2021,https://static.inaturalist.org/photos/122053911/medium.jpeg,45.51825518,12.29348592,Uccelli,Columba palumbus,Colombaccio,Columbidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
